#Time since start in ms ,ACCELEROMETER X (m/së_),ACCELEROMETER Y (m/së_),ACCELEROMETER Z (m/së_)
0,3.6349,9.0571,-1.0526
19,3.6349,9.0571,-1.0526
40,3.542,9.0357,-0.9887
60,3.6187,9.0324,-1.0165
79,3.5711,9.0813,-1.0278
100,3.5711,9.0813,-1.0278
121,3.5711,9.0813,-1.0278
142,3.5367,9.1286,-0.9337
160,3.5367,9.1286,-0.9337
180,3.6426,9.1441,-0.9932
200,3.6426,9.1441,-0.9932
220,3.5375,9.1224,-0.8313
240,3.5375,9.1224,-0.8313
260,3.6189,9.094,-0.8837
280,3.4627,9.0165,-0.9644
311,3.4627,9.0165,-0.9644
320,3.4603,9.1229,-0.732
341,3.4603,9.1229,-0.732
360,3.4877,9.0552,-0.9155
380,3.4877,9.0552,-0.9155
399,3.5365,9.115,-0.9549
420,3.5225,9.1305,-0.9953
440,3.5225,9.1305,-0.9953
460,3.6143,9.0585,-1.0655
480,3.6143,9.0585,-1.0655
499,3.5987,8.9583,-1.0031
519,3.5987,8.9583,-1.0031
540,3.6311,9.0898,-1.026
560,3.6311,9.0898,-1.026
579,3.6311,9.0898,-1.026
599,3.6087,9.1239,-1.0116
620,3.5392,9.0159,-1.0273
640,3.5392,9.0159,-1.0273
659,3.5109,9.029,-0.9611
679,3.5109,9.029,-0.9611
700,3.5585,9.0718,-0.9408
720,3.5585,9.0718,-0.9408
739,3.6298,9.029,-1.0299
759,3.5507,8.9761,-1.0093
781,3.5507,8.9761,-1.0093
800,3.5507,8.9761,-1.0093
820,3.7224,9.099,-1.0411
839,3.7224,9.099,-1.0411
859,3.6706,9.0175,-0.9225
881,3.6706,9.0175,-0.9225
900,3.6293,9.0291,-0.8778
923,3.556,9.0896,-0.9065
939,3.556,9.0896,-0.9065
959,3.556,9.0896,-0.9065
980,3.6992,9.0308,-1.0534
1000,3.6992,9.0308,-1.0534
1019,3.5965,8.9921,-1.0197
1039,3.5965,8.9921,-1.0197
1060,3.7264,9.1867,-0.9754
1080,3.7264,9.1867,-0.9754
1099,3.844,9.0188,-0.6164
1119,3.844,9.0188,-0.6164
1139,4.1442,9.211,-0.5299
1159,4.1442,9.211,-0.5299
1180,3.8708,8.7655,-0.889
1200,3.8708,8.7655,-0.889
1219,3.7886,8.7042,-1.51
1241,3.7886,8.7042,-1.51
1260,3.7015,8.5904,-1.0602
1280,3.7015,8.5904,-1.0602
1299,3.7567,8.4806,-1.1715
1319,3.7567,8.4806,-1.1715
1339,3.9416,8.881,-1.3324
1360,3.9416,8.881,-1.3324
1380,3.8206,8.7793,-0.4538
1400,3.8206,8.7793,-0.4538
1419,3.0654,8.3563,-0.6937
1439,3.0654,8.3563,-0.6937
1460,2.5408,9.5192,-1.9654
1480,2.5408,9.5192,-1.9654
1500,1.8742,10.8992,-1.6769
1520,1.8742,10.8992,-1.6769
1540,2.3386,10.1103,-0.7877
1560,2.3386,10.1103,-0.7877
1709,2.5612,8.4659,-1.0018
1710,2.5612,8.4659,-1.0018
1710,2.5612,8.4659,-1.0018
1711,2.5612,8.4659,-1.0018
1711,2.5612,8.4659,-1.0018
1712,2.5612,8.4659,-1.0018
1712,2.5612,8.4659,-1.0018
1719,2.5612,8.4659,-1.0018
1739,2.1591,8.8809,-0.6289
1759,2.1591,8.8809,-0.6289
1786,2.4239,9.2026,-0.5949
1799,2.4239,9.2026,-0.5949
1820,2.8689,9.0524,-0.8822
1839,2.8689,9.0524,-0.8822
1859,2.5054,9.596,-2.6591
1880,2.5054,9.596,-2.6591
1900,2.8938,11.2441,-1.1355
1920,2.8938,11.2441,-1.1355
1941,2.3825,12.1616,-0.9205
1959,2.3825,12.1616,-0.9205
1980,2.4412,14.0839,-2.114
2000,2.4412,14.0839,-2.114
2020,2.7317,14.2438,0.4487
2040,2.7317,14.2438,0.4487
2060,4.1545,10.8597,0.7372
2079,4.1545,10.8597,0.7372
2100,4.1545,10.8597,0.7372
2119,4.4038,9.766,0.1037
2147,7.319,11.1206,-3.7451
2159,7.319,11.1206,-3.7451
2179,6.3722,10.8432,1.6058
2200,6.3722,10.8432,1.6058
2220,4.0285,10.9656,-0.5051
2241,4.0285,10.9656,-0.5051
2260,1.8769,8.1576,-0.4137
2280,1.8769,8.1576,-0.4137
2300,2.0551,4.9764,-1.5102
2319,2.0551,4.9764,-1.5102
2340,2.7531,2.314,0.0808
2360,2.7531,2.314,0.0808
2380,2.4215,2.3448,0.9273
2400,2.4215,2.3448,0.9273
2420,2.7549,3.8133,2.5669
2440,2.7549,3.8133,2.5669
2459,3.8469,6.5475,6.9178
2480,3.8469,6.5475,6.9178
2500,6.204,12.456,11.44
2520,6.204,12.456,11.44
2540,4.5032,10.4034,5.689
2560,4.5032,10.4034,5.689
2579,6.5612,9.8863,4.3928
2599,6.5612,9.8863,4.3928
2620,8.5032,15.1796,2.8257
2639,8.5032,15.1796,2.8257
2659,4.0142,4.3794,-3.1968
2679,4.0142,4.3794,-3.1968
2699,3.761,8.6461,-5.3003
2720,3.761,8.6461,-5.3003
2740,3.761,8.6461,-5.3003
2760,-0.959,13.8227,-3.4335
2780,-0.583,11.7687,-0.2301
2800,-0.583,11.7687,-0.2301
2820,4.4233,5.5217,0.3639
2840,4.4233,5.5217,0.3639
2859,3.7885,6.0177,0.412
2879,3.7885,6.0177,0.412
2899,3.7885,6.0177,0.412
2920,0.6381,8.0594,1.208
2940,0.2039,7.9745,-2.7318
2959,0.2039,7.9745,-2.7318
