Time since start in ms ,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
0,1.0969,9.7721,0.614
20,1.1146,9.7501,0.7444
40,1.1146,9.7501,0.7444
60,1.0124,9.7151,0.7169
79,1.0124,9.7151,0.7169
100,1.0927,9.7324,0.7356
120,1.0927,9.7324,0.7356
139,1.0865,9.7029,0.6958
160,1.0865,9.7029,0.6958
180,1.1562,9.6978,0.7881
200,1.1562,9.6978,0.7881
220,1.0872,9.7332,0.744
240,1.0872,9.7332,0.744
260,1.1393,9.75,0.669
280,1.1393,9.75,0.669
300,1.1371,9.8413,0.6875
320,1.1371,9.8413,0.6875
339,1.087,9.6768,0.7491
360,1.087,9.6768,0.7491
380,1.087,9.6768,0.7491
400,1.0578,9.6696,0.8155
420,1.0578,9.6696,0.8155
440,1.1112,9.7857,0.8159
460,1.0494,9.7308,0.7972
480,1.0494,9.7308,0.7972
500,1.1726,9.7235,0.9215
519,1.1726,9.7235,0.9215
540,1.138,9.7222,0.7708
560,1.138,9.7222,0.7708
579,1.1808,9.6911,0.9049
600,1.1808,9.6911,0.9049
620,1.1628,9.6923,0.8346
641,1.1199,9.7635,0.8168
660,1.1199,9.7635,0.8168
688,1.1199,9.7635,0.8168
700,1.1453,9.7229,0.7858
720,1.1453,9.7229,0.7858
740,1.1283,9.7061,0.8288
760,1.1283,9.7061,0.8288
780,1.1855,9.605,0.9301
800,1.1855,9.605,0.9301
820,1.1999,9.6904,0.881
840,1.1999,9.6904,0.881
860,1.1212,9.78,0.6967
880,1.1212,9.78,0.6967
900,1.0504,9.7231,0.833
921,1.0504,9.7231,0.833
940,1.2082,9.7138,0.8178
960,1.2082,9.7138,0.8178
980,1.174,9.6707,0.8996
1000,1.1203,9.7315,0.9366
1020,1.1203,9.7315,0.9366
1040,1.1317,9.6773,0.9678
1060,1.0999,9.7452,0.7985
1080,1.0999,9.7452,0.7985
1100,1.1189,9.7664,0.7941
1120,1.1189,9.7664,0.7941
1140,1.0999,9.7115,0.7799
1160,1.0999,9.7115,0.7799
1179,1.1367,9.7382,0.8113
1200,1.1367,9.7382,0.8113
1220,1.0978,9.7113,0.7767
1240,1.0978,9.7113,0.7767
1260,1.1849,9.526,0.7877
1279,1.1849,9.526,0.7877
1300,1.2104,9.7764,0.8754
1320,1.1733,9.7635,0.7961
1340,1.1733,9.7635,0.7961
1360,1.141,9.7079,0.8681
1380,1.141,9.7079,0.8681
1400,1.0257,9.6427,0.8954
1420,1.0257,9.6427,0.8954
1440,1.0257,9.6427,0.8954
1460,1.1284,9.778,0.7756
1480,1.13,9.7998,0.9191
1500,1.13,9.7998,0.9191
1520,1.1093,9.7244,0.8723
1539,1.1093,9.7244,0.8723
1560,1.1512,9.7635,0.8587
1580,1.1512,9.7635,0.8587
1600,1.1512,9.7635,0.8587
1620,1.1056,9.804,0.9175
1640,1.1416,9.6542,0.8697
1660,1.1416,9.6542,0.8697
1680,1.1388,9.7812,0.926
1700,1.1388,9.7812,0.926
1720,1.1079,9.6666,0.8278
1739,1.1079,9.6666,0.8278
1760,1.1825,9.7634,0.9986
1780,1.1188,9.7366,0.9111
1799,1.1188,9.7366,0.9111
1820,1.0805,9.7577,1.014
1840,1.0805,9.7577,1.014
